"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1206877","Lu3PbC","Pm3m","-0.568","0","0.000","true","109.687","5","true","242","11.265","cubic",""
"mp-1206121","DyRu3C","Pm3m","-0.215","0","0.000","true","72.054","5","true","","11.009","cubic",""
"mp-1206516","Lu3InC","Pm3m","-0.573","0","0.062","true","109.774","5","true","","9.859","cubic",""
"mp-1213363","EuNpO3","Pnma","-3.427","0","0.000","false","315.581","20","true","","9.197","orthorhombic",""
"mp-1190059","EuHfS3","Pnma","-2.204","0","0.000","true","461.447","20","false","","6.141","orthorhombic",""
"mp-1078802","LaVGe3","P63/mmc","-0.576","0","0.000","true","196.387","10","false","","6.896","hexagonal",""
"mp-1106293","EuZrO3","Pnma","-3.649","0","0.345","false","282.216","20","false","","6.853","orthorhombic",""
"mp-1068661","ZrBRh3","Pm3m","-0.753","0","0.000","true","71.515","5","false","","9.537","cubic",""
"mp-1097916","CsCaCl3","Pm3m","-2.632","0","5.383","true","163.544","5","true","","2.836","cubic",""
"mp-19012","CaMoO3","Pnma","-2.688","0","1.154","false","251.704","20","false","","4.856","orthorhombic",""
"mp-1206894","Lu3AlC","Pm3m","-0.479","0","0.065","true","107.007","5","true","","8.75","cubic",""
"mp-1206443","La3SnC","Pm3m","-0.494","0","0.000","true","142.058","5","true","","6.399","cubic",""
"mp-998761","TlNiF3","Pm3m","-2.125","0","3.551","true","71.115","5","true","","7.474","cubic",""
"mp-1206444","Cs3IO","P63/mmc","-1.386","0","1.514","false","440.266","10","true","","4.086","hexagonal",""
"mp-1207079","SrH3Pd","Pm3m","-0.61","0","0.000","true","57.002","5","true","","5.741","cubic",""
"mp-1206844","RbPaO3","Pm3m","-3.546","0","3.214","true","85.793","5","true","","7.055","cubic",""
"mp-1213256","CsEuCl3","Pnma","-2.592","0","0.000","false","722.691","20","true","","3.596","orthorhombic",""
"mp-20947","CaRuO3","Pnma","-2.224","0","0.000","true","235.307","20","false","","5.339","orthorhombic",""
"mp-1212757","EuCoO3","Pnma","-2.267","0","0.000","false","224.688","20","true","","7.653","orthorhombic",""
"mp-5878","KZnF3","Pm3m","-2.835","0","3.786","true","70.526","5","false","","3.803","cubic",""
"mp-998552","BaHfO3","Pm3m","-3.796","0","3.941","true","74.326","5","true","","8.128","cubic",""
"mp-1206970","KPaO3","Pm3m","-3.572","0","3.274","true","84.417","5","true","","6.258","cubic",""
"mp-1206514","Mg3AsN","Pm3m","-0.811","0","1.335","false","76.392","5","true","","3.518","cubic",""
"mp-4019","CaTiO3","Pnma","-3.567","0","2.305","true","229.15","20","false","","3.94","orthorhombic",""
"mp-1207135","Gd3TlC","Pm3m","-0.419","0","0.000","true","124.311","5","true","","9.192","cubic",""
"mp-1213084","CsSrCl3","Pnma","-2.653","0","5.314","false","732.88","20","true","","2.963","orthorhombic",""
"mp-1188853","CaTcO3","Pnma","-2.468","0","0.000","true","237.832","20","false","","5.197","orthorhombic",""
"mp-1205638","Cs3BrO","P63/mmc","-1.451","0","1.556","false","409.262","10","true","","4.014","hexagonal",""
"mp-1206773","TmRu3C","Pm3m","-0.262","0","0.000","true","71.089","5","true","","11.309","cubic",""
"mp-1206983","Ho3PbC","Pm3m","-0.55","0","0.000","true","116.783","5","true","","10.152","cubic",""
"mp-19281","LaCrO3","Pnma","-3.209","0","2.371","true","245.738","20","false","","6.457","orthorhombic",""
"mp-1205652","TlNiCl3","P63/mmc","-1.138","0","0.573","false","249.341","10","true","","4.921","hexagonal",""
